floy,temp,round,tank,date,inc_day,embryo_length,,,
HO_014,29,1,1,23/10/2017,65,12.618,,,
HO_033,31,2,2,13/11/2018,96,12.654,,,
HO_013,29,1,1,11/11/2017,84,12.677,,,
HO-029,27,2,1,28/08/2018,86,12.723,,,
HO_014,29,1,1,31/10/2017,73,12.731,,,
HO_012,27,1,2,11/11/2017,84,12.732,,,
HO_004,27,1,2,13/09/2017,112,12.733,,,
HO_028,31,2,2,30/07/2018,60,12.747,,,
HO_008,29,1,1,11/09/2017,82,12.81,,,
HO_009,29,1,1,5/10/2017,79,12.895,,,
HO_021,27,1,2,15/01/2018,104,12.939,,,
HO_041,31,2,2,11/02/2019,88,12.944,,,
HO_012,27,1,2,15/11/2017,88,12.951,,,
HO_012,27,1,2,20/11/2017,93,12.953,,,
HO_030,27,2,1,16/08/2018,74,12.961,,,
HO_039,27,2,1,20/01/2019,106,12.969,,,
HO-029,27,2,1,23/08/2018,81,12.97,,,
HO_021,27,1,2,30/01/2018,119,12.996,,,
HO_014,29,1,1,13/11/2017,86,12.999,,,
HO_030,27,2,1,2/10/2018,121,12.999,,,
HO_033,31,2,2,22/10/2018,74,13.013,,,
HO_030,27,2,1,4/10/2018,123,13.026,,,
HO_002,27,1,2,31/07/2017,93,13.028,,,
HO_008,29,1,1,1/09/2017,72,13.056,,,
HO-042,27,2,1,9/03/2019,114,13.057,,,
HO_004,27,1,2,9/09/2017,108,13.095,,,
HO_002,27,1,2,27/07/2017,89,13.119,,,
HO_008,29,1,1,18/09/2017,89,13.143,,,
HO_022,29,1,1,23/01/2018,78,13.145,,,
HO_041,31,2,2,14/01/2019,60,13.17,,,
HO-036,31,2,2,27/11/2018,82,13.187,,,
HO_012,27,1,2,13/11/2017,86,13.205,,,
HO_028,31,2,2,20/08/2018,81,13.264,,,
HO_004,27,1,2,10/08/2017,78,13.291,,,
HO_027,27,2,1,25/09/2018,117,13.305,,,
HO_035,27,2,1,15/12/2018,105,13.38,,,
HO_022,29,1,1,8/02/2018,94,13.491,,,
HO_035,27,2,1,18/12/2018,120,13.509,,,
HO_008,29,1,1,22/09/2017,93,13.532,,,
HO_039,27,2,1,10/01/2019,96,13.533,,,
HO_004,27,1,2,20/08/2017,88,13.5615,,,
HO_014,29,1,1,18/10/2017,60,13.587,,,
HO_015,27,1,2,15/11/2017,88,13.648,,,
HO_026,31,2,2,28/08/2018,106,13.663,,,
HO_027,27,2,1,23/08/2018,84,13.67,,,
HO_027,27,2,1,17/09/2018,109,13.673,,,
HO_040,31,2,2,12/12/2018,67,13.682,,,
HO_009,29,1,1,9/10/2017,83,13.702,,,
HO_004,27,1,2,20/09/2017,119,13.742,,,
HO_025,27,1,2,12/03/2018,102,13.842,,,
HO_030,27,2,1,20/08/2018,78,13.86,,,
HO_003,27,1,2,5/09/2017,104,13.884,,,
